Name of Company,Name of Management,Relationship to Management,Types of Securities,Transaction Date,Amount,Average Price (baht),The methods of Acquisition/Disposition
ACE,Mr. TEERAWUT SONGMETTA,Reporter,Common Share,27/02/2020,500000,2.72,Purchase
ACE,Mr. TEERAWUT SONGMETTA,Reporter,Common Share,28/02/2020,300000,2.70,Purchase
ACE,Mr. TEERAWUT SONGMETTA,Reporter,Common Share,09/03/2020,200000,2.70,Purchase
ACE,Mr. TEERAWUT SONGMETTA,Reporter,Common Share,12/03/2020,400000,2.59,Purchase
ACE,Mr. TEERAWUT SONGMETTA,Reporter,Common Share,28/12/2020,70000000,3.60,Sale
ADD,Miss RATTINART BOONPRAKOBSAK,Reporter,Common Share,21/06/2021,5000,25.25,Purchase
ADD,Miss RATTINART BOONPRAKOBSAK,Reporter,Common Share,21/06/2021,5000,25.25,Purchase
ADD,Miss RATTINART BOONPRAKOBSAK,Reporter,Common Share,22/06/2021,35000,25.36,Purchase
ADD,Miss RATTINART BOONPRAKOBSAK,Reporter,Common Share,20/09/2021,30000,24.73,Purchase
ADD,Mr. CHAWAN BOONPRAKOBSAK,Spouse / Cohabiting Couple (Miss RATTINART BOONPRAKOBSAK),Common Share,21/06/2021,5000,25.25,Purchase
ADD,Mr. CHAWAN BOONPRAKOBSAK,Spouse / Cohabiting Couple (Miss RATTINART BOONPRAKOBSAK),Common Share,22/06/2021,35000,25.36,Purchase
ADD,Mr. CHAWAN BOONPRAKOBSAK,Spouse / Cohabiting Couple (Miss RATTINART BOONPRAKOBSAK),Common Share,20/09/2021,30000,24.73,Purchase
ADD,Mr. JENVIT JIVAKULCHAINAN,Reporter,Common Share,21/06/2021,4000000,20.00,Sale
ADD,Mr. JENVIT JIVAKULCHAINAN,Reporter,Common Share,23/06/2021,100000,25.75,Purchase
ADD,Mr. JENVIT JIVAKULCHAINAN,Reporter,Common Share,24/06/2021,50000,25.86,Purchase
ADD,Mr. JENVIT JIVAKULCHAINAN,Reporter,Common Share,28/06/2021,100000,26.00,Purchase
ADD,Mr. KATHAMAS PETCHARAT,Reporter,Common Share,10/06/2021,10000,20.30,Sale
ADD,Mr. KATHAMAS PETCHARAT,Reporter,Common Share,14/06/2021,8000,22.50,Sale
ADD,Mr. KATHAMAS PETCHARAT,Reporter,Common Share,18/06/2021,5000,25.00,Sale
ADD,Mr. KATHAMAS PETCHARAT,Reporter,Common Share,28/06/2021,5000,27.50,Sale
ADD,Mr. RAWIN VIRUCHPINTU,Reporter,Common Share,08/06/2021,10000,17.90,Purchase
ADD,Mr. SOMPOCH TANUTANTIVONG,Reporter,Common Share,21/06/2021,4000000,20.00,Sale
ACC,Mr. KAN KUNGPISDAN,Spouse / Cohabiting Couple (Taksaporn Kungpisdan),Common Share,16/10/2019,20000,0.70,Purchase
ACC,Mr. PEERAPONG WAINIPITAPONG,Reporter,Common Share,22/04/2021,1600000,0.90,Sale
ACC,Mr. PEERAPONG WAINIPITAPONG,Reporter,Common Share,17/08/2021,2446400,0.84,Purchase
ACC,Mr. PEERAPONG WAINIPITAPONG,Reporter,Common Share,18/08/2021,1699600,0.87,Sale
ACC,Mr. PEERAPONG WAINIPITAPONG,Reporter,Common Share,19/08/2021,220100,0.87,Sale
ACC,Mr. PEERAPONG WAINIPITAPONG,Reporter,Common Share,19/08/2021,90000,0.89,Purchase
ACC,Mr. PEERAPONG WAINIPITAPONG,Reporter,Common Share,20/08/2021,616700,0.88,Sale
ACC,Mrs. SUPIN SIRIPOKE,Reporter,Common Share,20/08/2019,6050000,0.67,Purchase
ACC,Mrs. SUPIN SIRIPOKE,Reporter,Common Share,21/08/2019,10100000,0.68,Purchase
ACC,Mrs. SUPIN SIRIPOKE,Reporter,Common Share,18/09/2019,500000,0.66,Purchase
ACC,Mrs. SUPIN SIRIPOKE,Reporter,Common Share,02/11/2021,600000,0.93,Purchase
ACC,Mrs. SUPIN SIRIPOKE,Reporter,Common Share,11/11/2021,2000000,1.02,Purchase
ACC,Mrs. SUPIN SIRIPOKE,Reporter,Common Share,12/11/2021,4500000,1.08,Purchase
ACC,Mrs. SUPIN SIRIPOKE,Reporter,Common Share,15/11/2021,1700000,1.07,Purchase
ACC,Mrs. SUPIN SIRIPOKE,Reporter,Common Share,23/11/2021,1000000,1.19,Purchase
AIT,Mr. CHODIWAT DUNTANASARN,Spouse / Cohabiting Couple (Miss Chantana Krasaesan),Common Share,14/05/2019,20000,21.20,Purchase
AIT,Mr. CHODIWAT DUNTANASARN,Spouse / Cohabiting Couple (Miss Chantana Krasaesan),Common Share,26/03/2020,1000000,17.00,Sale
AIT,Mr. CHODIWAT DUNTANASARN,Spouse / Cohabiting Couple (Miss Chantana Krasaesan),Common Share,26/03/2020,1500000,17.00,Sale
AIT,KITTISAK SOPCHOKCHAI,Reporter,Common share,09/05/2018,77600,25.69,Buy
AIT,KITTISAK SOPCHOKCHAI,Reporter,Common share,10/05/2018,40000,25.06,Buy
AIT,KITTISAK SOPCHOKCHAI,Reporter,Common share,11/05/2018,39800,24.90,Buy
AEONTS,CHATCHAVAL JIARAVANON,Reporter,Common share,22/01/2018,20000,149.00,Sell
AEONTS,CHATCHAVAL JIARAVANON,Reporter,Common share,23/01/2018,41700,154.00,Sell
AEONTS,CHATCHAVAL JIARAVANON,Reporter,Common share,24/01/2018,138300,149.25,Sell
AEONTS,CHATCHAVAL JIARAVANON,Reporter,Common share,25/01/2018,100000,149.18,Sell
AEONTS,DEJ BULSUK,Reporter,Common share,23/01/2018,6900,155.00,Sell
AEONTS,DEJ BULSUK,Reporter,Common share,01/02/2018,10000,157.25,Sell
AEONTS,DEJ BULSUK,Reporter,Common share,16/02/2018,5000,180.00,Sell
AEONTS,DEJ BULSUK,Reporter,Common share,19/02/2018,6000,189.25,Sell
AEONTS,NOPPUN MUANGKOTE,Reporter,Common share,18/01/2018,70000,163.79,Sell
AEONTS,NOPPUN MUANGKOTE,Reporter,Common share,01/02/2018,37400,161.97,Sell
AEONTS,NOPPUN MUANGKOTE,Reporter,Common share,02/02/2018,22600,164.30,Sell
AU,Miss GULAPAT KANOKWATANAWAN,Reporter,Common Share,23/12/2020,33000000,10.00,Sale
AU,Miss URAIWAN SAMANWONG,Reporter,Common Share,11/07/2019,38700,16.50,Sale
AU,Miss URAIWAN SAMANWONG,Reporter,Common Share,11/06/2020,80000,10.70,Sale
AU,Mr. MILL KANOKWATANAWAN,Reporter,Common Share,07/01/2021,8000000,10.00,Sale
AU,Mr. SONGPON TASNASATHIENKIJ,Reporter,Common Share,10/04/2019,50000,8.30,Purchase
AU,Mr. SONGPON TASNASATHIENKIJ,Reporter,Common Share,05/06/2019,180000,10.86,Sale
AU,Mr. WIWAT KANOKWATANAWAN,Spouse / Cohabiting Couple (-),Common Share,16/08/2018,200000,8.33,Purchase
AU,Mr. WIWAT KANOKWATANAWAN,Spouse / Cohabiting Couple (-),Common Share,23/08/2018,223700,8.33,Purchase
AU,Mr. WIWAT KANOKWATANAWAN,Spouse / Cohabiting Couple (-),Common Share,24/08/2018,1376300,7.82,Purchase
AU,Mr. WIWAT KANOKWATANAWAN,Spouse / Cohabiting Couple (-),Common Share,31/08/2018,800000,7.28,Purchase
AU,Mr. WIWAT KANOKWATANAWAN,Spouse / Cohabiting Couple (-),Common Share,26/12/2018,300000,5.50,Purchase
AU,Mr. WIWAT KANOKWATANAWAN,Spouse / Cohabiting Couple (-),Common Share,30/10/2019,150000,10.90,Purchase
AU,Mr. WIWAT KANOKWATANAWAN,Spouse / Cohabiting Couple (-),Common Share,09/12/2019,250800,10.70,Purchase
AU,Mr. WIWAT KANOKWATANAWAN,Spouse / Cohabiting Couple (-),Common Share,11/12/2019,67000,10.37,Purchase
AU,Mr. WIWAT KANOKWATANAWAN,Spouse / Cohabiting Couple (-),Common Share,18/02/2020,9800,8.95,Purchase
AU,Mr. WIWAT KANOKWATANAWAN,Spouse / Cohabiting Couple (-),Common Share,19/02/2020,100000,8.95,Purchase
AU,Mr. WIWAT KANOKWATANAWAN,Spouse / Cohabiting Couple (-),Common Share,20/02/2020,100000,8.90,Purchase
AU,Mr. WIWAT KANOKWATANAWAN,Spouse / Cohabiting Couple (-),Common Share,21/02/2020,600000,8.73,Purchase
AU,Mr. WIWAT KANOKWATANAWAN,Reporter,Common Share,25/02/2020,600000,6.38,Purchase
AU,Mr. WIWAT KANOKWATANAWAN,Spouse / Cohabiting Couple (-),Common Share,07/01/2021,3900000,10.00,Sale
AU,SONGPON TASNASATHIENKIJ,Reporter,Common share,04/04/2018,10000,12.00,Buy
AU,SONGPON TASNASATHIENKIJ,Reporter,Common share,04/04/2018,20000,11.70,Buy
AU,SONGPON TASNASATHIENKIJ,Reporter,Common share,04/04/2018,20000,11.60,Buy
AU,SONGPON TASNASATHIENKIJ,Reporter,Common share,04/04/2018,10000,11.50,Buy
AU,SONGPON TASNASATHIENKIJ,Reporter,Common share,04/04/2018,10000,11.40,Buy
AU,SONGPON TASNASATHIENKIJ,Reporter,Common share,04/04/2018,10000,12.10,Buy
AU,SONGPON TASNASATHIENKIJ,Reporter,Common share,31/05/2018,50000,11.20,Buy
AU,WIWAT KANOKWATANAWAN,Spouse,Common share,06/07/2018,100000,8.50,Buy
AU,WIWAT KANOKWATANAWAN,Spouse,Common share,17/07/2018,200000,8.43,Buy
AU,WIWAT KANOKWATANAWAN,Spouse,Common share,14/08/2018,100000,8.40,Buy
APURE,Mrs. KITTIMA IMPRASERT,Reporter,Common Share,13/05/2021,10000,4.26,Purchase
APURE,Mrs. KITTIMA IMPRASERT,Reporter,Common Share,14/05/2021,10000,4.60,Sale
AIE,Miss PIMWAN THARERATANAVIBOOL,Reporter,Common Share,29/03/2021,4500000,2.00,Sale
AIE,Miss PIMWAN THARERATANAVIBOOL,Reporter,Common Share,22/09/2021,500000,1.51,Sale
AIE,Miss PIMWAN THARERATANAVIBOOL,Reporter,Warrant,22/09/2021,500000,0.91,Sale
AIE,Miss PIMWAN THARERATANAVIBOOL,Reporter,Warrant,22/09/2021,456000,0.92,Sale
AIE,Mr. THANIT THARERATANAVIBOOL,Reporter,Warrant,17/05/2021,19100000,1.20,Sale
AIE,Mr. THANIT THARERATANAVIBOOL,Spouse / Cohabiting Couple (Mrs. Ousna Thareratanavibool),Warrant,17/05/2021,4200000,1.20,Sale
AIE,Mr. THANIT THARERATANAVIBOOL,Reporter,Common Share,16/06/2021,17000000,1.62,Sale
AIE,Mr. THANIT THARERATANAVIBOOL,Reporter,Common Share,17/06/2021,34000000,1.66,Sale
AHC,Mr. APIRAG VANICH,Reporter,Common Share,23/08/2021,90200,16.06,Purchase
AHC,Mr. APIRAG VANICH,Reporter,Common Share,24/08/2021,17200,16.00,Purchase
AHC,Mr. APIRAG VANICH,Reporter,Common Share,25/08/2021,90600,16.73,Purchase
AHC,Mr. APIRAG VANICH,Reporter,Common Share,31/08/2021,10400,16.44,Purchase
AHC,Mr. APIRAG VANICH,Reporter,Common Share,03/09/2021,20000,16.50,Purchase
AHC,Mr. APIRAG VANICH,Reporter,Common Share,07/09/2021,28000,16.45,Purchase
AHC,Mr. APIRAG VANICH,Reporter,Common Share,08/09/2021,27000,16.39,Purchase
AHC,Mr. APIRAG VANICH,Reporter,Common Share,21/09/2021,26000,16.42,Purchase
AHC,Mr. APIRAG VANICH,Reporter,Common Share,22/09/2021,5900,16.43,Purchase
AHC,Mr. APIRAG VANICH,Reporter,Common Share,23/09/2021,25000,16.40,Purchase
AHC,Mr. APIRAG VANICH,Reporter,Common Share,27/09/2021,20000,16.12,Purchase
AHC,Mr. APIRAG VANICH,Reporter,Common Share,28/09/2021,20400,16.10,Purchase
AHC,Mr. APIRAG VANICH,Reporter,Common Share,29/09/2021,13300,16.23,Purchase
AHC,Mr. APIRAG VANICH,Reporter,Common Share,30/09/2021,6000,16.50,Purchase
AIMCG,Miss JATUPAT UTAWANIT,Reporter,Units,09/07/2019,100000,10.00,Purchase
AIMCG,Miss JATUPAT UTAWANIT,Reporter,Units,16/12/2019,5000,8.70,Purchase
AIMCG,Miss JATUPAT UTAWANIT,Reporter,Units,23/12/2019,5000,8.25,Purchase
AIMCG,Mr. AMORN CHULALUKSANANUKUL,Spouse / Cohabiting Couple (Surerath Chulaluksananukul),Units,15/08/2019,20000,9.70,Purchase
AIMCG,Mr. AMORN CHULALUKSANANUKUL,Reporter,Units,29/11/2019,10000,9.70,Purchase
AIMCG,Mr. AMORN CHULALUKSANANUKUL,Reporter,Units,02/12/2019,10000,9.60,Purchase
AIMCG,Mr. AMORN CHULALUKSANANUKUL,Reporter,Units,13/12/2019,10000,8.75,Purchase
AIMCG,Mr. AMORN CHULALUKSANANUKUL,Spouse / Cohabiting Couple (Surerath Chulaluksananukul),Units,20/12/2019,10000,8.20,Purchase
AIMCG,Mr. AMORN CHULALUKSANANUKUL,Reporter,Units,20/12/2019,10000,8.10,Purchase
AIMCG,Mr. AMORN CHULALUKSANANUKUL,Reporter,Units,05/10/2021,20000,5.75,Sale
AIMCG,Mr. CHARASRIT ARTHAVEDHYAVORAVUDHI,Reporter,Units,12/07/2019,3000,9.93,Purchase
AIMCG,Mr. CHARASRIT ARTHAVEDHYAVORAVUDHI,Reporter,Units,12/07/2019,10000,9.95,Purchase
AIMCG,Mr. CHARASRIT ARTHAVEDHYAVORAVUDHI,Reporter,Units,17/07/2019,25000,9.93,Purchase
AIMCG,Mr. CHARASRIT ARTHAVEDHYAVORAVUDHI,Reporter,Units,19/07/2019,15000,9.90,Purchase
AIMCG,Mr. CHARASRIT ARTHAVEDHYAVORAVUDHI,Reporter,Units,22/07/2019,5000,9.90,Purchase
AIMCG,Mr. CHARASRIT ARTHAVEDHYAVORAVUDHI,Reporter,Units,23/07/2019,10000,9.90,Purchase
AIMCG,Mr. CHARASRIT ARTHAVEDHYAVORAVUDHI,Reporter,Units,24/07/2019,20000,9.86,Purchase
AIMCG,Mr. CHARASRIT ARTHAVEDHYAVORAVUDHI,Reporter,Units,26/07/2019,20000,9.85,Purchase
AIMCG,Mr. CHARASRIT ARTHAVEDHYAVORAVUDHI,Reporter,Units,30/07/2019,11000,9.85,Purchase
AIMCG,Mr. CHARASRIT ARTHAVEDHYAVORAVUDHI,Reporter,Units,31/07/2019,10000,9.80,Purchase
AIMCG,Mr. CHARASRIT ARTHAVEDHYAVORAVUDHI,Reporter,Units,01/08/2019,10000,9.80,Purchase
AIMCG,Mr. CHARASRIT ARTHAVEDHYAVORAVUDHI,Reporter,Units,02/08/2019,10000,9.80,Purchase
AIMCG,Mr. CHARASRIT ARTHAVEDHYAVORAVUDHI,Reporter,Units,05/08/2019,20000,9.75,Purchase
AIMCG,Mr. CHARASRIT ARTHAVEDHYAVORAVUDHI,Reporter,Units,07/08/2019,3200,9.75,Purchase
AIMCG,Mr. CHARASRIT ARTHAVEDHYAVORAVUDHI,Reporter,Units,15/08/2019,10000,9.70,Purchase
AIMCG,Mr. CHARASRIT ARTHAVEDHYAVORAVUDHI,Reporter,Units,16/08/2019,10000,9.70,Purchase
AIMCG,Mr. CHARASRIT ARTHAVEDHYAVORAVUDHI,Reporter,Units,29/11/2019,55000,9.71,Purchase
AIMCG,Mr. CHARASRIT ARTHAVEDHYAVORAVUDHI,Reporter,Units,02/12/2019,48200,9.66,Purchase
AIMCG,Mr. CHARASRIT ARTHAVEDHYAVORAVUDHI,Reporter,Units,11/12/2019,31500,9.56,Purchase
AIMCG,Mr. CHARASRIT ARTHAVEDHYAVORAVUDHI,Reporter,Units,13/12/2019,64500,9.04,Purchase
AIMCG,Mr. CHARASRIT ARTHAVEDHYAVORAVUDHI,Reporter,Units,16/12/2019,43100,8.62,Purchase
AIMCG,Mr. CHARASRIT ARTHAVEDHYAVORAVUDHI,Reporter,Units,17/12/2019,25100,8.38,Purchase
AIMCG,Mr. CHARASRIT ARTHAVEDHYAVORAVUDHI,Reporter,Units,18/12/2019,17800,8.39,Purchase
AIMCG,Mr. CHARASRIT ARTHAVEDHYAVORAVUDHI,Reporter,Units,19/12/2019,18000,8.31,Purchase
AIMCG,Mr. CHARASRIT ARTHAVEDHYAVORAVUDHI,Reporter,Units,20/12/2019,3000,8.26,Purchase
AIMCG,Mr. CHARASRIT ARTHAVEDHYAVORAVUDHI,Reporter,Units,25/12/2019,2000,8.33,Purchase
AIMCG,Mr. CHARASRIT ARTHAVEDHYAVORAVUDHI,Reporter,Units,26/12/2019,2500,8.35,Purchase
AIMCG,Mr. CHARASRIT ARTHAVEDHYAVORAVUDHI,Reporter,Units,27/12/2019,2500,8.66,Purchase
AIMCG,Mr. CHARASRIT ARTHAVEDHYAVORAVUDHI,Reporter,Units,30/12/2019,2000,9.00,Purchase
AIMCG,Mr. CHARASRIT ARTHAVEDHYAVORAVUDHI,Reporter,Units,03/01/2020,9000,8.81,Purchase
AIMCG,Mr. CHARASRIT ARTHAVEDHYAVORAVUDHI,Reporter,Units,06/01/2020,1000,8.75,Purchase
AIMCG,Mr. CHARASRIT ARTHAVEDHYAVORAVUDHI,Reporter,Units,17/01/2020,1000,8.60,Purchase
AIMCG,Mr. CHARASRIT ARTHAVEDHYAVORAVUDHI,Reporter,Units,20/01/2020,1000,8.55,Purchase
AIMCG,Mr. CHARASRIT ARTHAVEDHYAVORAVUDHI,Reporter,Units,22/01/2020,1000,8.54,Purchase
AIMCG,Mr. CHARASRIT ARTHAVEDHYAVORAVUDHI,Reporter,Units,23/01/2020,3000,8.55,Purchase
AIMCG,Mr. CHARASRIT ARTHAVEDHYAVORAVUDHI,Reporter,Units,24/01/2020,2000,8.50,Purchase
AIMCG,Mr. CHARASRIT ARTHAVEDHYAVORAVUDHI,Reporter,Units,28/02/2020,13500,6.53,Purchase
AIMCG,Mr. CHARASRIT ARTHAVEDHYAVORAVUDHI,Reporter,Units,02/03/2020,5000,6.45,Purchase
AIMCG,Mr. CHARASRIT ARTHAVEDHYAVORAVUDHI,Reporter,Units,03/03/2020,9000,6.50,Purchase
AIMCG,Mr. CHARASRIT ARTHAVEDHYAVORAVUDHI,Reporter,Units,04/03/2020,6000,6.60,Purchase
AIMCG,Mr. CHARASRIT ARTHAVEDHYAVORAVUDHI,Reporter,Units,05/03/2020,4600,6.85,Purchase
AIMCG,Mr. CHARASRIT ARTHAVEDHYAVORAVUDHI,Reporter,Units,06/03/2020,4000,6.80,Purchase
AIMCG,Mr. CHARASRIT ARTHAVEDHYAVORAVUDHI,Reporter,Units,09/03/2020,2000,6.55,Purchase
AIMCG,Mr. CHARASRIT ARTHAVEDHYAVORAVUDHI,Reporter,Units,10/03/2020,3000,6.63,Purchase
AIMCG,Mr. CHARASRIT ARTHAVEDHYAVORAVUDHI,Reporter,Units,11/03/2020,4000,6.61,Purchase
AIMCG,Mr. CHARASRIT ARTHAVEDHYAVORAVUDHI,Reporter,Units,12/03/2020,8500,5.90,Purchase
AIMCG,Mr. CHARASRIT ARTHAVEDHYAVORAVUDHI,Reporter,Units,13/03/2020,1500,5.50,Purchase
AIMCG,Mr. CHARASRIT ARTHAVEDHYAVORAVUDHI,Reporter,Units,17/03/2020,5600,4.86,Purchase
AIMCG,Mr. CHARASRIT ARTHAVEDHYAVORAVUDHI,Reporter,Units,18/03/2020,2000,4.76,Purchase
